ID,Sitio,Índice del lugar,Nombre del lugar,Enlace del lugar,Municipio,Valoración,Valoraciones,Precio,Comentario,Fecha,Votos a favor,Votos en contra,Valoración_num,Sentimiento
380,Tripadvisor,50,Isla Múcura,https://www.tripadvisor.co/Attraction_Review-g4452849-d2536595-Reviews-or20-Isla_Mucura-San_Onofre_Sucre_Department.html, San Onofre,4.5/5,281,Precio Desconocido,"La isla es muy hermosa y tiene unas aguas muy azuladas; pero mi consejo es que se cuiden de las personas, pues la mayoría en la isla son estafadores.",24 de agosto de 2017,0,0,4.5,neutral
196,Foursquare,30,Doki's comidas rápidas (Majagual),https://es.foursquare.com/v/dokis-comidas-r%C3%A1pidas-majagual/4c6216b2fa7bc9282b850d27,Sincelejo,7.4/10,13 valoraciones,$,"Lahamburguesa de polloy elpatacónDoki, son deliciosos.","Abril 12, 2015",0,0,7.4,positivo
723,Tripadvisor,56,Playa la Coquerita,https://www.tripadvisor.co/Attraction_Review-g616329-d10465002-Reviews-or20-Playa_la_Coquerita-Covenas_Sucre_Department.html,Coveñas,4.0/5,28,Precio Desconocido,"La playa es preciosa, de aguas mansas y playas de arena sin rocas. Estuvimos en temporada baja, con muy poca gente, lo que la hizo perfecta. El agua tibia y deliciosa para bañarse.",14 de febrero de 2020,0,0,4,neutral
522,Tripadvisor,50,Isla Múcura,https://www.tripadvisor.co/Attraction_Review-g4452849-d2536595-Reviews-or20-Isla_Mucura-San_Onofre_Sucre_Department.html, San Onofre,4.5/5,281,Precio Desconocido,"es un paraíso de playa Para llegar a la isla llegamos a Tolu nos hospedamos en un excelente hotel llamado hotel Caribe Royal, al frente de la playa. Luego compramos el tour a la isla Múcura salimos de Tolu a las 08:30, el viaje a la isla en lancha dura aproximadamente 50 minutos en mar abierto pero al llegar parece uno llegar a un paraíso, el agua es cristalina, la arena es blanca, la fauna la flora son increíbles la atención de las personas nativas del lugar excelente, muy atentos y que decir de los cócteles y el ceviche de langosta, lo único malo es que no se consigue agua potable, pero se soluciona comprando antes de subirse a la lancha. ¡Excelente destino se los recomiendo y barato el pasaje 55000 pesos por persona incluye almuerzo y la entrada al acuario! El regreso a las 15:30. Yo regreso...",3 de octubre de 2012,0,0,4.5,neutral
1126,Tripadvisor,74,Covenas Diving Co.,https://www.tripadvisor.co/Attraction_Review-g616329-d13199404-Reviews-or220-Covenas_Diving_Co-Covenas_Sucre_Department.html,Coveñas,5.0/5,259,Precio Desconocido,"Es muy buena escuela de buceo; excelente los lugares de buceo en las Islas San Bernardo, muy lindo el lugar, muy agradable el instructor Guillermo. Es una nuevo lugar de buceo pero vale la pena ir, super recomendable",4 de marzo de 2018,0,0,5,neutral
509,Tripadvisor,50,Isla Múcura,https://www.tripadvisor.co/Attraction_Review-g4452849-d2536595-Reviews-or20-Isla_Mucura-San_Onofre_Sucre_Department.html, San Onofre,4.5/5,281,Precio Desconocido,"Un lugar paradisiaco!!!! Si pensás que haz visto todo y conoces los mejores lugares, si no haz ido a esta isla te vas a dar cuenta de que les hablo. Después de haber ido aquí me dan ganas de volver cada año, es un paraíso, el mejor lugar de playa estilo ecoturístico que he visto en mi vida.",24 de septiembre de 2013,0,0,4.5,neutral
1167,Tripadvisor,75,Rincón Dive Center,https://www.tripadvisor.co/Attraction_Review-g10326747-d14126059-Reviews-or60-Rincon_Dive_Center-Rincon_del_Mar_San_Onofre_Sucre_Department.html,San Onofre,5.0/5,192,Precio Desconocido,"Hice mi Open water Advance en este centro de buceo ubicado en un lugar mágico: #rincon del Mar los instructores son fenomenales se preocupan todo el tiempo por los estudiantes, y te llevan a los lugares más lindos de Colombia para bucear!!! Súper recomendado... además los precios son muy económicos a diferencia de otros lugares y cuentan con equipos de muy buena calidad y en óptimas condiciones.",23 de febrero de 2020,1,0,5,neutral
268,Foursquare,43,Nonnina Pizza,https://foursquare.com/v/nonnina-pizza/4d17ec0de190721eee841e21,Sincelejo,6.8/10,12 valoraciones,$,Muy buenas pizzas,"Agosto 12, 2013",0,0,6.8,neutral
252,Foursquare,41,Philadelphia,https://foursquare.com/v/philadelphia/4e98d45f5c5caa2f44c5ec30,Sincelejo,6.9/10,13 valoraciones,$,Las hamburguesas tienen un sabor Gourmet que las hace incomparables,"Noviembre 12, 2015",0,0,6.9,neutral
225,Foursquare,38,Plaza de Majagual,https://foursquare.com/v/plaza-de-majagual/4c0193ebf99620a1dbcd2404,Sincelejo,7.2/10,40 valoraciones,Precio Desconocido,Punto de información turística en la plaza de Majagual,"Noviembre 26, 2013",0,0,7.2,positivo
